,date,pm25,pm10,o3,no2,so2,co,AQI_calculated
1380,2020-06-01,95.0,46.0,4.0,10.0,19.0,4.0,217.0
1381,2020-06-02,96.06920392276153,50.811417652426876,4.534601961380764,8.930796077238472,21.138407845523055,4.0,220.0
1382,2020-06-03,109.35891572808829,55.82912346515747,3.570291570816389,8.957125285060279,19.1834578565725,4.0,265.0
1383,2020-06-04,117.76515530224269,54.05636347233647,3.3968538169191955,9.274285589387405,17.911179654864508,4.0,293.0
1384,2020-06-05,114.97806872243257,56.11296202010922,3.5530076842190015,8.944374485895274,15.60408528148601,3.7411011265922482,283.0
1385,2020-06-06,108.79400118299657,60.21313138679645,2.9677926300820276,9.186351016637346,16.61174204878777,3.800447410253618,263.0
1386,2020-06-07,106.12735497990815,58.50127320304276,3.182935010047554,8.522221733023132,17.526384093633343,3.842040040123847,254.0
1387,2020-06-08,109.19351580180997,59.370304157607016,3.5339422603192774,8.22817013455703,16.265665215887918,3.8725535833794527,264.0
1388,2020-06-09,116.60399291155935,59.666257704529905,3.9817795290843936,8.005133848833195,15.854219325593906,3.8956979137878056,289.0
1389,2020-06-10,122.88591639938457,60.58685761875956,4.502722115495237,7.6590492525034195,15.016384715813642,4.086299624469251,302.0
1390,2020-06-11,125.38668805007552,61.6479741960291,4.585001562198472,7.384543470519283,15.179133399946858,4.237480209196196,304.0
1391,2020-06-12,128.51910162805356,61.225070081366866,4.331863263719207,7.163420042847897,14.032564426918524,4.199552589746382,307.0
1392,2020-06-13,127.81856022799418,61.96526943196776,4.43543638138482,6.828051327896917,13.097409283837093,4.168618377127974,306.0
1393,2020-06-14,130.41558813946546,61.214753557052234,4.671925024987112,6.551735699803533,13.082685568460601,3.9919780848397504,308.0
1394,2020-06-15,128.43085633637403,60.14738694686058,4.868403376319606,6.470110699176121,12.18279960219315,3.9931648647240707,306.0
1395,2020-06-16,121.39598260314682,58.6734178434122,4.887518578926818,6.2565682610507185,10.558430571032174,3.994157709312275,301.0
1396,2020-06-17,115.0475457294474,56.86117294116253,4.903602944206673,6.076884338879588,11.479547629143095,3.8519973810571857,283.0
1397,2020-06-18,112.36023083533411,59.84353537284718,4.917203081854937,6.066037144604278,10.98863713067836,3.8728782676502505,275.0
1398,2020-06-19,117.88846900553028,57.4945036521422,4.649826266084381,6.056827477869448,10.990221818208854,3.890606908049695,293.0
1399,2020-06-20,117.90386913823335,55.90734949431772,4.42201924656024,6.048980773869979,12.09620717688177,3.767632441306641,293.0
1400,2020-06-21,118.60151913236945,55.372441261829074,4.774939590700842,5.905377430355057,11.946138634438885,3.7994430894938898,295.0
1401,2020-06-22,118.11212373728395,52.46822946929228,4.397864637766762,5.78234947216715,11.274028510299052,3.6908101065076733,294.0
1402,2020-06-23,113.23638021934892,53.620161855330785,3.939095815336436,5.676719147143076,10.561946038784203,3.732555937630028,277.0
1403,2020-06-24,110.65352535012403,52.32846967585412,3.6787348216658287,5.585856556345556,10.083686118503763,3.768465458592956,269.0
1404,2020-06-25,107.89369337848761,53.219954416410005,3.4544135034311725,5.507571342195151,11.007880116983127,3.799404313780189,260.0
1405,2020-06-26,110.17002198313308,56.78356315700009,3.260875346183392,5.440029049711973,9.942275075744318,3.6930279377221087,267.0
1406,2020-06-27,115.0532927410215,62.64620127626687,3.093696432730335,5.249096224670702,10.347697492815707,3.601139665045752,284.0
1407,2020-06-28,121.91932383341148,64.54340773133097,3.0813121517177726,5.08399753086478,9.640868144127348,3.52168431842492,301.0
1408,2020-06-29,123.77537255841744,64.07633233494349,4.388747087137967,5.863817243360225,9.424576597416182,3.716548961534493,303.0
1409,2020-06-30,124.5939371461044,63.408773364754175,6.310188061469757,6.539246794755964,9.105734616686355,3.88532815032572,304.0
1230,2020-07-01,125.82833743202116,64.27376992808459,8.631702307538355,7.124651667919957,9.748031259007078,4.031611592326262,304.0
1231,2020-07-02,128.0778370081992,65.28591136770487,10.51395916191333,7.763325643914888,9.650038650927172,4.420472510048094,306.0
1232,2020-07-03,129.76802731820823,63.80973914751084,11.231521157589395,7.925079911727326,9.30341946249962,4.234677850621427,308.0
1233,2020-07-04,126.7940297404031,60.56904977642655,12.115631115884126,8.065487760601455,9.39440797030133,4.2040238396454965,305.0
1234,2020-07-05,120.16699751331386,59.190119342356745,11.970076148178409,8.448349826885067,9.212481342228612,4.046936386094482,300.0
1235,2020-07-06,120.40590349438277,54.212576761321195,11.061625181853742,8.520249634316928,9.575795022662687,3.910483017234725,300.0
1236,2020-07-07,111.4980565259795,50.66894299547697,10.662938998331548,8.58272293884526,9.63103518218585,3.9221399582706944,272.0
1237,2020-07-08,106.74892508781947,46.938536737222556,12.268238837127532,8.637019079466949,9.939285164871038,3.9322711161226174,256.0
1238,2020-07-09,104.83107947249694,44.4759037367944,13.273622223146768,8.554185636273083,9.427048460435381,3.681012284336252,249.0
1239,2020-07-10,100.8243623631012,41.6849579634325,13.887848485346854,8.222251125236665,9.3715504888352,3.5925099153616973,236.0
1240,2020-07-11,95.13196584521641,39.128056273971794,14.292089402724296,7.933600386582367,10.622200801003382,3.3856569822421374,217.0
1241,2020-07-12,89.7916466409356,39.37109783116506,14.124332532630065,7.812387505769629,10.411584315435976,3.3355856728307933,199.0
1242,2020-07-13,86.31452195472102,40.880342236585385,13.978412259153897,7.706952677931618,10.48795120433885,3.1622481405845004,188.0
1243,2020-07-14,89.25774758724846,41.28508824527291,13.981213063795519,7.6152322725463195,10.294903646962313,3.2709384992980284,198.0
